denominazione,provincia,codice_istat,popolazione,url_albo,piattaforma,note
Marineo,PA,082046,6779,http://www.comune.marineo.pa.it/servizi/albo-pretorio/,custom,trovato via ricerca web
Calatafimi-Segesta,TP,081003,6738,https://www.comune.calatafimisegesta.tp.it/,Halley,trovato via ricerca web
Balestrate,PA,082007,6413,http://www.comune.balestrate.pa.it/zf/index.php/servizi-aggiuntivi/index/index/idservizio/20039/idtesto/260,custom,trovato via ricerca web
Piana degli Albanesi,PA,082057,6010,https://www.comuneweb.it/egov/PianaAlbanesi/Albo-Pretorio.html,ComuneWeb,trovato via ricerca web
San Cipirello,PA,082063,5478,https://ww2.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/albo_pretorio/_sicilia/_comuni/_san_cipirello/,Gazzetta Amministrativa,trovato via ricerca web
Cerda,PA,082028,5391,https://comune.cerda.pa.it/sito_tematico/albo-pretorio/,ComuneWeb,trovato via ricerca web
Santa Ninfa,TP,081019,5095,https://www.comune.santaninfa.tp.it/,custom,trovato via ricerca web
Prizzi,PA,082060,5055,https://comune.prizzi.pa.it/punto_contatto/albo-pretorio/,ComuneWeb,trovato via ricerca web
Bisacquino,PA,082010,4829,https://albo.apkappa.it/bisacquino/albo/index.php,APKAPPA,trovato via ricerca web
Gibellina,TP,081010,4264,https://www.comune.gibellina.tp.it/servizio/albo-pretorio/,portalepa,trovato via ricerca web
Caltavuturo,PA,082015,4171,https://comune.caltavuturo.pa.it/sito_tematico/albo-pretorio-on-line/,ComuneWeb,trovato via ricerca web
Torretta,PA,082072,4141,https://win.comune.torretta.pa.it/albo.asp,custom,trovato via ricerca web
Collesano,PA,082032,4095,https://comune.collesano.pa.it/,ComuneWeb,trovato via ricerca web
Bolognetta,PA,082011,3932,https://www.comune.bolognetta.pa.it/home/servizi/servizio~516859f9-4e38-48ab-b84c-8ef7b0b6c8b2~.html,ComuneWeb,trovato via ricerca web
Ciminna,PA,082030,3845,https://www.comune.ciminna.pa.it/amministrazione/documenti_e_dati/documenti_albo_pretorio/documento_189.html,EGov,trovato via ricerca web
Alia,PA,082001,3806,https://www.comune.alia.pa.it/Media/Banner-e-link/Albo-Pretorio,ComuneWeb,trovato via ricerca web
Valledolmo,PA,082076,3747,https://www.comune.valledolmo.pa.it/EG0/EGHOMEPAGE.HBL?ss=1&F=MC09&en=eg131&freeze=1&P=,EGov,trovato via ricerca web
Polizzi Generosa,PA,082058,3607,https://www.comune.polizzi.pa.it/tipo-documento/documento-albo-pretorio/,ComuneWeb,trovato via ricerca web
Montemaggiore Belsito,PA,082051,3566,https://www.comune.montemaggiorebelsito.pa.it/,EGov,trovato via ricerca web
Castellana Sicula,PA,082024,3549,https://www.comune.castellana-sicula.pa.it/,ComuneWeb,trovato via ricerca web
Lascari,PA,082044,3500,https://www.comune.lascari.pa.it/_albo/,ComuneWeb,trovato via ricerca web
Camporeale,PA,082019,3448,https://www.comune.camporeale.pa.it/,EGov,trovato via ricerca web
Petralia Soprana,PA,082055,3443,http://albo.studiok.it/petraliasoprana/albo/,custom,trovato via ricerca web
Villafrati,PA,082080,3377,https://comune.villafrati.pa.it/punto_contatto/albo-pretorio/,ComuneWeb,trovato via ricerca web
Trappeto,PA,082074,3211,https://www.comune.trappeto.pa.it/servizio/albo-pretorio/,ComuneWeb,trovato via ricerca web
Castronovo di Sicilia,PA,082025,3175,https://albo.apkappa.it/castronovodisicilia/albo/,APKAPPA,trovato via ricerca web
Mezzojuso,PA,082047,3020,https://albo.apkappa.it/mezzojuso/albostorico/,APKAPPA,trovato via ricerca web
Pollina,PA,082059,2998,https://comune.pollina.pa.it/,ComuneWeb,trovato via ricerca web
Petralia Sottana,PA,082056,2975,http://www.comune.petraliasottana.pa.it/servizi/albo-pretorio-online/,custom,trovato via ricerca web
Chiusa Sclafani,PA,082029,2957,https://www.comune.chiusasclafani.pa.it/sito_tematico/albo-pretorio/,ComuneWeb,trovato via ricerca web
Vicari,PA,082078,2948,https://www.comune.vicari.pa.it/servizio/albo-pretorio/,portalepa,trovato via ricerca web
Sciara,PA,082068,2787,https://www.comune.sciara.pa.it/,ComuneWeb,trovato via ricerca web
Roccapalumba,PA,082062,2634,https://www.comune.roccapalumba.pa.it/,ComuneWeb,trovato via ricerca web
Giardinello,PA,082038,2258,https://www.comune.giardinello.pa.it/it/page/documento-albo-pretorio,HyperSIC,trovato via ricerca web
Palazzo Adriano,PA,082052,2227,https://albo.studiok.it/palazzoadriano/albo/,custom,trovato via ricerca web
Alimena,PA,082002,2152,https://www.comunedialiminusa.it/it-it/amministrazione/atti-pubblicazioni/albo-pretorio,ComuneWeb,trovato via ricerca web
Ventimiglia di Sicilia,PA,082077,2080,https://www.comune.ventimigliadisicilia.pa.it/sito_tematico/albo-pretorio/,ComuneWeb,trovato via ricerca web
Giuliana,PA,082039,2032,http://albo.studiok.it/giuliana/albo/,custom,trovato via ricerca web
Baucina,PA,082008,2014,https://www.comune.baucina.pa.it/,EGov,trovato via ricerca web
Geraci Siculo,PA,082037,1925,http://www.comune.geracisiculo.pa.it/index.php?option=com_wrapper&view=wrapper&Itemid=128&lang=it,custom,trovato via ricerca web
Contessa Entellina,PA,082033,1865,https://comune.contessaentellina.pa.it/albo-pretorio/,ComuneWeb,trovato via ricerca web
San Mauro Castelverde,PA,082065,1847,https://www.comune.sanmaurocastelverde.pa.it/,ComuneWeb,trovato via ricerca web
Isnello,PA,082042,1598,https://www.comune.isnello.pa.it/EG0/EGSCHTST45.HBL?ARG=14,EGov,trovato via ricerca web
Roccamena,PA,082061,1562,https://www.comune.roccamena.pa.it/,custom,trovato via ricerca web
Poggioreale,TP,081016,1534,https://www.comune.poggioreale.tp.it/,custom,trovato via ricerca web
Campofiorito,PA,082018,1332,https://www.comune.campofiorito.pa.it/bandi-albo-pretorio/,HyperSIC,trovato via ricerca web
Aliminusa,PA,082003,1291,https://www.comunedialiminusa.it/it-it/amministrazione/atti-pubblicazioni/albo-pretorio,ComuneWeb,trovato via ricerca web
Godrano,PA,082040,1153,https://comune.godrano.pa.it/amministrazione/,ComuneWeb,trovato via ricerca web
Gratteri,PA,082041,1019,https://www.comune.gratteri.pa.it/,EGov,trovato via ricerca web
Cefalà Diana,PA,082026,1007,https://www.comune.cefaladiana.pa.it/,ComuneWeb,trovato via ricerca web
Santa Cristina Gela,PA,082066,925,https://www.comune.santacristinagela.pa.it/,Halley,trovato via ricerca web
Scillato,PA,082081,627,https://www.comunescillato.pa.it/,Halley,trovato via ricerca web
Campofelice di Fitalia,PA,082016,548,https://comune.campofelicedifitalia.pa.it/albo-pretorio/,APKAPPA,trovato via ricerca web
Sclafani Bagni,PA,082069,450,https://comune.sclafanibagni.pa.it/,HyperSIC,trovato via ricerca web
